Compound_ID,SMILES,Sau_Mean_10uM,HepG2_Mean_10uM,HSkMC_Mean_10uM,IMR90_Mean_10uM,id
BRD-K79799066,C[C@H]1CCCCO[C@H](CN(C)Cc2ccccc2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)c1ccccc1,0.996266784,1.003503294,0.989084729,0.948099461,10830171
BRD-K90544118,C[C@@H]1CN([C@H](C)CO)C(=O)Cc2cc(ccc2O[C@@H]1CN(C)Cc1ccc2c(c1)OCO2)NC(=O)CCN1CCOCC1,1.048900076,1.053105672,1.001376683,1.03277085,10833846
BRD-K43122168,COc1ccc(cc1)NC(=O)Nc1ccc2c(c1)C(=O)N(C[C@H](C)[C@H](CN(C)C(=O)c1ccccc1)OCCCC[C@H](C)O2)[C@H](C)CO,1.216438382,0.973376598,1.017981543,1.061346176,10839028
BRD-K15366668,CN(C)CC#Cc1ccc(cc1)[C@@H]1[C@H](CO)N2[C@@H]1CN(CC2=O)C(=O)c1cccnc1,0.816154081,1.000580829,0.971604966,1.012005482,10841104
BRD-K35745500,C[C@H]1CN([C@H](C)CO)C(=O)c2cccc(c2O[C@H]1CN(C)CC1CC1)NS(=O)(=O)c1cccs1,1.007751311,1.023843593,1.025490461,0.947540465,10855497
BRD-K75075478,Cn1ccnc1CO,0.961040957,1.035989132,0.969283637,0.974781078,10863824
BRD-K61152973,C[C@@H]1CN([C@@H](C)CO)C(=O)Cc2cc(ccc2O[C@H]1CN(C)Cc1ccc(cc1)-c1ccccc1)NC(=O)Nc1ccc(cc1)F,0.894515357,0.750215484,0.991094193,0.94973942,10872580
BRD-A37951464,CCOC(=O)N1CCC(CC1)NS(=O)(=O)c1cccc(c1)S(=O)(=O)[C@H]1CCS(=O)(=O)C1,0.989604451,1.008256594,0.99603502,0.993780203,10882503
BRD-K15822743,COc1ccc(cc1)CNC(=O)C[C@@H]1C[C@@H]2[C@@H](Oc3ccc(cc32)NC(=O)NC2CCCC2)[C@H](CO)O1,0.905758743,1.021723216,1.025019151,1.102153997,10910831
BRD-K65691725,COc1ccc(cc1)S(=O)(=O)Nc1ccc2c(c1)C(=O)N(C[C@H](C)[C@@H](CN(C)Cc1ccc3c(c1)OCO3)OCCCC[C@@H](C)O2)[C@H](C)CO,0.975169837,0.965676487,1.006071682,0.974713781,10920473
BRD-K08601060,COc1ccc(cc1)S(=O)(=O)Nc1ccc2c(c1)C(=O)N(C[C@@H](C)[C@@H](CN(C)S(=O)(=O)C)OCCCC[C@@H](C)O2)[C@H](C)CO,1.053562513,0.964024706,1.043184684,0.961712976,10925643
BRD-K53519362,COc1ccc(cc1)S(=O)(=O)N(C)C[C@@H]1OCCCC[C@@H](C)Oc2ccc(cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO)NC(=O)Nc1cccc2ccccc12,0.986955983,1.012754483,1.04125867,1.029468592,10927260
BRD-K28999076,C[C@H]1CN([C@H](C)CO)C(=O)Cc2cc(ccc2O[C@@H]1CN(C)S(=O)(=O)c1ccc(cc1)Cl)NC(=O)CCCN(C)C,1.140067966,1.023148627,0.998738337,1.068724204,10932794
BRD-K61925142,C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(ccc2O[C@@H]1CN(C)S(=O)(=O)c1ccc(cc1)C)N(C)C,0.951866358,1.073780297,0.98328585,0.969366985,10935604
BRD-K24384329,C[C@@H]1CN([C@@H](C)CO)C(=O)Cc2cc(ccc2O[C@H]1CN(C)CC1CC1)NS(=O)(=O)c1ccccc1,0.940939746,1.029101065,0.986044191,0.973574505,10943237
BRD-K82406232,O[C@@H]1COC[C@H]2O[C@@H](CC[C@@H]2N(C1)S(=O)(=O)c1ccc(cc1)F)CC(=O)N[C@H]1CCN(C1)Cc1ccccc1,0.825535994,1.039618172,0.978969922,0.989496034,10945244
TELENZEPINE HYDROCHLORIDE,Cc1scc2c1N(C(=O)CN1CCN(C)CC1)c1ccccc1NC2=O.Cl,0.19553,0.980616738,1.00050249,1.175260279,10967893
DESVENLAFAXINE SUCCINATE,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1.O=C(O)CCC(=O)O,1.11275,0.950352323,1.009177745,0.789293265,10970983
BRD-K95364454,OC[C@H]1O[C@@H](C[C@H]2[C@@H]1Oc1ccc(cc12)NS(=O)(=O)c1ccc(cc1)F)CC(=O)NCCc1ccccc1,1.066322993,0.961249789,1.041171785,1.026795697,10972346
BRD-K91097645,C[C@@H]1CCCCO[C@@H](CN(C)C(=O)CCC(F)(F)F)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Cc1ccccc1,1.090054194,1.046006196,0.970027083,1.02061976,11003717
BRD-K47570616,CC(C)(C)[S@@](=O)N1Cc2cc(nc(c2[C@H]1CCO)-c1cccc(c1)-c1cccc(c1)F)C(=O)NCC(F)(F)F,0.799651195,0.959649273,0.995979615,0.962771503,11021953
BRD-K56464677,COCc1cc(nc(c1C#N)N)C,1.108349102,1.1140589,1.025763442,0.89912508,11035980
BRD-K02144083,C[C@H]1CCCCO[C@H](CN(C)S(=O)(=O)c2ccc(cc2)Cl)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)c1ccccc1,0.955740543,1.00516374,1.004024995,1.031953382,11046064
BRD-K73305661,COC(=O)c1c(oc(c1C(=O)OC)C(=O)C)CC[C@@H](CO)NC(=O)NCCn1cc(nn1)C1(O)CCCC1,1.010200365,1.022322063,1.011175317,0.963293835,11047591
BRD-K30895668,C[C@H]1CCCCO[C@H](CN(C)C(=O)c2ccccc2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Cc1ccccc1,1.051573973,0.999215846,1.002543392,1.013113171,11073825
BRD-K83828712,NCC1CCN(CC1)S(=O)(=O)C1CC1,0.910494126,1.017540362,1.004072286,0.999664148,11075845
BRD-K75845944,COc1ccc(cc1)NC(=O)N(C)C[C@H]1Oc2c(cccc2C(=O)N(C[C@@H]1C)[C@@H](C)CO)NC(=O)c1cc(nn1C)C,0.930496233,1.036555355,1.011694599,1.064601306,11094125
BRD-K13660244,C[C@H]1CN([C@H](C)CO)C(=O)c2cc(ccc2O[C@H]1CN(C)C(=O)Nc1ccc(cc1)C(F)(F)F)NC(=O)Cc1ccccc1,0.968412663,0.865555162,0.947642197,1.026123249,11100404
BRD-K90116007,CNC[C@@H]1OCCCC[C@H](C)Oc2ccc(cc2C(=O)N(C[C@H]1C)[C@@H](C)CO)NS(=O)(=O)c1c(noc1C)C,0.899026558,0.996410492,0.981816938,0.9843018,11101523
BRD-A10391092,COc1cc(ncn1)N1CCO[C@]2(COCCN(C2)S(=O)(=O)C)C1,0.932397747,1.02969265,1.019589115,1.037743553,11110136
BRD-K96258508,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(ccc2O[C@H]1CN(C)S(=O)(=O)c1cn(cn1)C)NC(=O)C1CC1,1.102922367,1.1045085,1.145718474,1.128091971,11145808
