Name,SMILES,Mean,id
BRD-K68091240,COc1ccc([Si](C)(C)[C@H]2[C@H](CCn3cc([C@H](O)c4ccccc4)nn3)O[C@@]3(C(=O)N(C)c4c(Br)cc(C)cc43)[C@@H]2C)cc1,1.161042225,16121056
BRD-K95215839,O=C(N/N=C/[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O)c1ccccn1,0.810663291,16148887
BRD-A42759514,Cc1ncc([N+](=O)[O-])n1C[C@@H](O)CCl,1.062286133,16387302
BRD-K65204698,CC(C)NC(=O)Cn1ccc([N+](=O)[O-])n1,1.044049342,16431547
MIRTAZAPINE,CN1CCN2c3ncccc3Cc3ccccc3C2C1,0.89446,16505926
BRD-K01779413,C[C@H](O)C#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)Cc1ccccn1)[C@@H](C)CN([C@H](C)CO)S2(=O)=O,0.881925243,16552250
BRD-K71131721,CC(=O)N(C)c1nc(N)n(-c2ccccc2)n1,0.90140543,17070667
EPICATECHIN MONOGALLATE,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,0.8893,17100743
BRD-K45353197,C=CCOC(=O)[C@H]1[C@@H]2C(=O)O[C@@H](c3ccccc3)[C@@H](c3ccccc3)N2[C@@H](c2ccc(OCCOC(=O)[C@@H]3C[C@@H]4C(=O)N[C@@H](CC(C)C)C(=O)N4[C@@H]3c3cccc(OCCO)c3)cc2)[C@]12C(=O)Nc1ccc(I)cc12,1.172437824,17145577
METICRANE,Cc1cc2c(cc1S(N)(=O)=O)S(=O)(=O)CCC2,1.040275,17149417
BRD-K05280065,CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)c3ccc(F)cc3)cc2OC[C@H](C)N(C(=O)CN(C)C)C[C@H]1C,1.15241213,17238073
BRD-K62166110,CCCCC1C(=O)NC(=S)NC1=O,0.800128191,17771639
